Post.Office,State,County,Established,Discontinued,Latitude,Longitude
CACHARAS,CO,Huerfano,1870,1872,37.3791796,-105.100281
CENTREVILLE,WA,Snohomish,1870,1877,48.2412107,-122.3707103
CROSS TIMBERS,TX,Johnson,1870,1904,32.5323602,-97.3255715
MAYHEW'S STATION,CA,Sacramento,1870,1873,38.5651839,-121.3507847
NORTH SAN DIEGO,CA,San Diego,1870,1943,32.5836667,-117.0969731
OAKGROVE,CA,San Diego,1870,1900,33.3850338,-116.7891887
PLEITO,CA,Monterey,1870,1884,35.8602454,-120.9935214
POPOLOTE,TX,Bee,1870,1883,28.1725089,-97.60194
WOODWARDS LANDING,WA,Pacific,1870,1884,46.6748226,-123.6662704
GWINMINE,CA,Calaveras,1870,1910,38.2757495,-120.7579905
OZRO FALLS,KS,Chautauqua,1870,1872,37.055883,-96.426505
PLATTVILLE,NE,Saunders,1870,1879,41.3506877,-96.5416206
ACOMB,TX,McLennan,1870,1880,,
AKINS MILLS,NE,York,1870,1873,,
AKRON,KS,Douglas,1870,1870,,
ALBUQUERQUE,TX,Wilson,1870,1883,,
ARANSAS,TX,Bee,1870,1887,,
ATLANTA,KS,Montgomery,1870,1874,,
ATTICA,NE,Saunders,1870,1872,,
BACCHUS,TX,Hopkins,1870,1876,,
BEAVER,TX,Anderson,1870,1881,,
BED ROCK,CA,Trinity,1870,1872,,
BELL'S RIDGE,CA,Shasta,1870,1881,,
BERROS CREEK,CA,San Luis Obispo,1870,1872,,
BIG DRY CREEK,CA,Fresno,1870,1893,,
BIG LABETTE,KS,Neosho,1870,1871,,
BOYD'S MILL,TX,Wise,1870,1873,,
BRATTON,NE,Nemaha,1870,1897,,
BRICKVILLE,CA,Merced,1870,1871,,
BUCK GROVE,KS,Jackson,1870,1881,,
BUCKLUXY,OK,Choctaw,1870,1872,,
BUNCOMB,KS,Brown,1870,1871,,
BUNKER HILL,KS,Lyon,1870,1870,,
CALLA,NE,Pawnee,1870,1876,,
CARMARGO,TX,Burleson,1870,1872,,
CARNERO,CO,Saguache,1870,1884,,
CAROLINE,NE,Jefferson,1870,1872,,
CENTRAL CITY,NM,Grant,1870,1871,,
CHILTIPIN,TX,San Patricio,1870,1872,,
CHOTEAU CREEK,SD,Bon Homme,1870,1892,,
CLAY HILL,TX,Titus,1870,1880,,
COLFAX,CO,Custer,1870,1879,,
CONWAY'S LANDING,CA,Mendocino,1870,1871,,
CORONA,KS,Coffey,1870,1878,,
COTTAGE HOME,NE,Cuming,1870,1871,,
COTTON PLANT,TX,Lamar,1870,1879,,
CRESWELL,KS,Labette,1870,1871,,
CRESWELL,TX,Houston,1870,1877,,
CRESWELL,CO,Jefferson,1870,1908,,
CROSS,KS,Lyon,1870,1871,,
CUFFEY'S COVE,CA,Mendocino,1870,1888,,
CURRY'S CREEK,TX,Kendall,1870,1894,,
DAILEYVILLE,TX,Karnes,1870,1884,,
DALE,ID,Bannock,1870,1874,,
DAYTONVILLE,KS,Labette,1870,1871,,
DEEP CREEK,KS,Clay,1870,1876,,
DELMONT,KS,Anderson,1870,1870,,
DONALD,KS,Washington,1870,1870,,
DOVER,CA,Merced,1870,1874,,
DRYDEN,NE,Thayer,1870,1879,,
EAGLE CREEK,KS,Lyon,1870,1873,,
EDGERTON,CO,El Paso,1870,1902,,
EL SAUZ,TX,Hidalgo,1870,1875,,
ELIZABETH,TX,Denton,1870,1881,,
EXONVILLE,KS,Wabaunsee,1870,1871,,
FANNIE,KS,Cloud,1870,1878,,
FISH CREEK,MT,Madison,1870,1896,,
FLAT ROCK,KS,Neosho,1870,1879,,
FORT SIMCOE,WA,Yakima,1870,1922,,
GEORGETOWN,NE,Jefferson,1870,1871,,
GLEN PARK,KS,Wyandotte,1870,1872,,
GOMERS MILLS,CO,Elbert,1870,1882,,
GRAND RIVER,SD,Buffalo,1870,1874,,
GROUSE CREEK,KS,Cowley,1870,1876,,
GROVER,KS,Ottawa,1870,1885,,
GUAHONGA,CA,San Diego,1870,1871,,
HARRISBURGH,KS,Lyon,1870,1871,,
IRON CITY,UT,Iron,1870,1884,,
IRON CREEK,TX,Waller,1870,1871,,
JOHNSON'S INSTITUTE,TX,Hays,1870,1871,,
JOY CREEK,KS,Washington,1870,1878,,
KIOWA,NE,Jefferson,1870,1872,,
LAKE STATION,CO,Greenwood,1870,1871,,
LASSEN,CA,Tehama,1870,1872,,
LICK,TX,Fannin,1870,1871,,
LINE,KS,Greenwood,1870,1878,,
LITTLE SANDY,NE,Jefferson,1870,1873,,
LITTLE WIND RIVER,WY,Fremont,1870,1870,,
LODI,NE,Dakota,1870,1875,,
LONE VALLEY,NE,Saunders,1870,1874,,
MACKSVILLE,TX,Harrison,1870,1887,,
MARAK,KS,Brown,1870,1882,,
MARTINSVILLE,NE,Adams,1870,1873,,
MAYTON,KS,Washington,1870,1874,,
MCLEANS STATION,OK,Ottawa,1870,1872,,
MERCER'S GAP,TX,Brown,1870,1871,,
MILTON,NE,Saunders,1870,1886,,
MIM'S STORE,TX,Marion,1870,1879,,
MOKSEE,WA,Yakima,1870,1872,,
MONCKTON,CA,Mono,1870,1872,,
MORGAN,KS,Montgomery,1870,1872,,
MORIAN,NE,Colfax,1870,1877,,
MOUNT CLIFTON,KS,Washington,1870,1871,,
MOUNTAIN HOME,TX,Bell,1870,1871,,
MUDDY CREEK,CO,Pueblo,1870,1886,,
NANCY,KS,Pottawat.,1870,1874,,
NEW REPUBLIC,CA,Monterey,1870,1874,,
NEWPORT,KS,Neosho,1870,1871,,
NORTH ELK,KS,Republic,1870,1872,,
NUNNA,OK,McCurtain,1870,1872,,
OAKLAND,KS,Jewell,1870,1878,,
ORCUTTVILLE,KS,Neosho,1870,1871,,
ORD,KS,Neosho,1870,1872,,
ORISTEMBRA,CA,Stanislaus,1870,1870,,
ORTON,NE,Seward,1870,1888,,
OTTER LAKE,KS,Pottawat.,1870,1886,,
PALO ALTO,KS,Neosho,1870,1872,,
PALOUSE BRIDGE,WA,Adams,1870,1877,,
PARKER'S BLUFF,TX,Anderson,1870,1872,,
PARSON'S SEMINARY,TX,Travis,1870,1871,,
PATTY'S MILL,KS,Lyon,1870,1871,,
PETERSBURGH,UT,Millard,1870,1879,,
PLEASANT RUN,KS,Pottawatamie,1870,1886,,
PLUM VALLEY,NE,Cuming,1870,1873,,
PORTUGEE,CA,Shasta,1870,1877,,
PRAIRIE PLAIN,KS,Republic,1870,1875,,
PROSPECT HILL,KS,Washington,1870,1871,,
PUMPHREYS LANDING,WA,Cowlitz,1870,1874,,
RADICAL CITY,KS,Montgomery,1870,1887,,
RANDOLPH,NE,Dakota,1870,1877,,
RINCON,CA,Riverside,1870,1907,,
ROCK SPRING,OK,Chickasaw Nation,1870,1872,,
ROPERVILLE,NE,Gage,1870,1878,,
RUMBURG,CA,Siskiyou,1870,1871,,
SAINT PAUL,KS,Chautauqua,1870,1874,,
SAND CREEK,NE,Saunders,1870,1903,,
SANFORDVILLE,KS,Cherokee,1870,1871,,
SAWPIT,CA,Plumas,1870,1873,,
SEATCO,WA,Thurston,1870,1888,,
SHADEVILLE,TX,Henderson,1870,1880,,
SIDNEY,KS,Coffey,1870,1871,,
SNEEDVILLE,TX,San Augustine,1870,1872,,
SOUTH COTTONWOOD,UT,Salt Lake,1870,1883,,
SPRING RIVER FALLS,KS,Cherokee,1870,1874,,
SPRINGFIELD,KS,Linn,1870,1871,,
SQUAW CREEK,ID,Gem,1870,1889,,
STAR,TX,Lavaca,1870,1871,,
STRAWNSBURGH,KS,Coffey,1870,1870,,
SUMMIT VALLEY,CA,Nevada,1870,1875,,
TAFFE,NE,Wayne,1870,1874,,
TANALQUOT,WA,Thurston,1870,1876,,
TEXAS,SD,Union,1870,1875,,
THOMPSON'S RIVER,MT,Missoula,1870,1871,,
TODD'S,TX,Shelby,1870,1871,,
TRUST,KS,Osage,1870,1870,,
TUCKER'S MILLS,TX,Limestone,1870,1873,,
TWENTY SIX MILE HOUSE,CA,Stanislaus,1870,1894,,
URBAN,NE,Butler,1870,1877,,
VERONA,NE,Hamilton,1870,1872,,
WAH WAH,KS,Butler,1870,1871,,
WAH WAH SUK,KS,Shawnee,1870,1871,,
WANTISKA,NE,Saunders,1870,1874,,
WARRENSBURG,UT,Iron,1870,1871,,
WOBURN,KS,Jackson,1870,1872,,
ADINVILLE,CA,Modoc,1871,1876,41.1928007,-120.9445056
BARLOW,OR,Clackamas,1871,1975,45.2517872,-122.7206484
ANTELOPE,OR,Wasco,1871,,44.9097979,-120.7226817
ALEXANDERVILLE,CA,Sonoma,1871,1872,38.6665756,-122.819715
ALMA CITY,NE,Harlan,1871,1873,40.0981872,-99.3631202
ALSEA,OR,Benton,1871,,44.3817105,-123.5963959
ARGENTA,MT,Beaverhead,1871,1935,45.2796455,-112.861976
ARVADA,CO,Jefferson,1871,,39.802922,-105.0866721
ASHLAND,OR,Jackson,1871,,42.1967801,-122.7114561
ATLANTA,NE,Saline,1871,1884,40.4180191,-97.3364199
ATLANTA,TX,Cass,1871,1873,33.1173723,-94.1640099
AUGUSTA,OR,Baker,1871,1872,44.9804352,-117.3690812
AXTELL,KS,Marshall,1871,,39.8720231,-96.257674
BATTLE GROUND,WA,Clark,1871,,45.7814885,-122.5424775
BEAR RIVER CITY,UT,Box Elder,1871,,41.6168152,-112.1260181
BEATTIE,KS,Marshall,1871,,39.8605973,-96.4168337
BELLE PLAINE,KS,Sumner,1871,,37.3931815,-97.2808565
BELVUE,KS,Pottawat.,1871,,39.2155714,-96.1788629
BENNET STATION,NE,Lancaster,1871,1880,40.6797567,-96.5080409
BIG CABIN,OK,Craig,1871,,36.5378895,-95.2221116
BIGG'S STATION,CA,Butte,1871,1884,39.413084,-121.7102194
BLACK HAWK,CO,Gilpin,1871,,39.8037975,-105.495171
BLOOMING GROVE,TX,Navarro,1871,,32.0928098,-96.7166521
BOULDER,MT,Jefferson,1871,1871,46.2356045,-112.1192101
BOW VALLEY,NE,Cedar,1871,1907,42.7147205,-97.2494975
BROOKLYN,NE,Franklin,1871,1873,40.0947581,-99.0377343
BROOKS,OR,Marion,1871,1960,45.0471898,-122.9576639
BRUSH PRAIRIE,WA,Clark,1871,,45.730966,-122.5492663
BUEL,NV,Elko,1871,1878,41.25548,-114.0464003
BULLION,NV,Elko,1871,1934,40.5321438,-115.9845146
BUNKER HILL,KS,Russell,1871,,38.8743247,-98.7047374
BURR OAK,KS,Jewell,1871,,39.8704628,-98.3062618
CALDWELL,KS,Sumner,1871,,37.0330375,-97.606626
CAMP CREEK,OR,Lane,1871,1922,44.1184599,-122.8136903
CANBY,OR,Clackamas,1871,,45.2608114,-122.7000344
CANYON CREEK,MT,Lewis & Clark,1871,,46.8059815,-112.2593165
CASTLE ROCK,CO,Douglas,1871,1874,39.3648395,-104.8596738
CENTRAL PARK,MT,Gallatin,1871,1909,45.8235396,-111.2682901
CENTRALIA,ND,Cass,1871,1872,46.878528,-96.790237
CHERRYVALE,KS,Montgomery,1871,,37.2700934,-95.5522935
CHUALAR,CA,Monterey,1871,,36.5708298,-121.5182911
CLARKSTON,UT,Cache,1871,,41.9223724,-112.0463138
CLARKSVILLE,OR,Baker,1871,1884,44.4912712,-117.6799285
CLATSKANIE,OR,Columbia,1871,,46.1048488,-123.2071077
CLEARWATER,KS,Sedgwick,1871,,37.5130554,-97.4960634
CLOVER VALLEY,NV,Lincoln,1871,1887,37.5132999,-114.2516475
COLORADO SPRINGS,CO,El Paso,1871,,38.8334452,-104.8212372
COLUMBIA CITY,OR,Columbia,1871,,45.88995,-122.808991
COOPER,TX,Delta,1871,,33.3735598,-95.6871723
CORNELIUS,OR,Washington,1871,,45.5198696,-123.0516975
COTESFIELD,NE,Howard,1871,,41.3572342,-98.6325756
CRAWFORD,TX,McLennan,1871,,31.5363104,-97.4440308
CREIGHTON,NE,Knox,1871,,42.4663127,-97.9072484
DAVILLA,TX,Milam,1871,,30.7844624,-97.2747956
DELL,SD,Minnehaha,1871,1873,43.8231706,-96.7131985
DORCHESTER,NE,Saline,1871,,40.6478738,-97.1137232
DURHAM,CA,Butte,1871,,39.6458105,-121.8012698
EAGLE SALT WORKS,NV,Churchill,1871,1899,39.7410223,-119.0554415
EBERHARDT,NV,White Pine,1871,1893,39.1949331,-115.4805905
EDEN,UT,Weber,1871,,41.3054486,-111.8280886
EDGERTON,KS,Johnson,1871,,38.7650688,-95.0071336
ENCHANTED PRAIRIE,OR,Coos,1871,1883,43.036777,-124.0337092
ERIE,CO,Weld,1871,,40.0498898,-105.0470632
EXCELSIOR,NV,Elko,1871,1872,41.7043465,-116.1689842
EXETER,NE,Fillmore,1871,,40.6443401,-97.448976
FAIR GROUND,OR,Marion,1871,1874,44.9615086,-123.0103737
FALL RIVER,KS,Greenwood,1871,,37.6084924,-96.0283883
FLANDREAU,SD,Moody,1871,,44.0496523,-96.5957786
FLORENCE,KS,Marion,1871,,38.2404192,-96.9258768
FOREST CITY,MT,Mineral,1871,1895,47.0415884,-115.0384667
FRANKLIN,NE,Franklin,1871,,40.0947487,-98.9546427
FRIENDVILLE,NE,Saline,1871,1874,40.6540343,-97.2852603
FULTON,CA,Sonoma,1871,,38.4947437,-122.7699059
GAFFNEY,MT,Madison,1871,1875,45.5202036,-112.3119437
GAFFNEY'S STATION,MT,Madison,1871,1871,45.5202036,-112.3119437
GALENA,NV,Lander,1871,1907,40.5643557,-117.1301057
GALESBURG,KS,Neosho,1871,,37.4713923,-95.3554707
GARDNER,CO,Huerfano,1871,,37.7832618,-105.1601539
GAYLORD,KS,Smith,1871,,39.6468443,-98.8459465
GEM,OR,Baker,1871,1872,44.8707144,-117.357969
GERVAIS,OR,Marion,1871,,45.1074638,-122.898977
GIBBON,NE,Buffalo,1871,,40.7483077,-98.8450045
GIDDINGS,TX,Lee,1871,,30.1828122,-96.9354479
GLEN ELLEN,CA,Sonoma,1871,,38.363052,-122.5249197
GLENCOE,NE,Dodge,1871,1896,41.6541702,-96.8489209
GLENCOE,OR,Washington,1871,1905,45.6001152,-122.99205
GLENWOOD,UT,Sevier,1871,1983,38.7629905,-111.9881033
GRANT,CO,Park,1871,,39.4593288,-105.6617517
GREEN ISLAND,NE,Cedar,1871,1882,42.8399983,-97.4408942
GREENHORN,MT,Lewis & Clark,1871,1883,46.6391017,-112.2452892
GREENVILLE,OR,Washington,1871,1907,45.5928914,-123.1142754
GROESBECK,TX,Limestone,1871,,31.5225241,-96.5337679
GUIDE ROCK,NE,Webster,1871,,40.0738189,-98.3300391
HALSEY,OR,Linn,1871,,44.3893443,-123.1092183
HAMMOND,NE,Boone,1871,1873,41.6921268,-98.0001884
HARTMAN,NE,Seward,1871,1873,40.9666775,-97.2086515
HARVARD,NE,Clay,1871,,40.6194995,-98.0974759
HAVANA,KS,Montgomery,1871,,37.0916754,-95.9408034
HENRIETTA,NE,Nuckolls,1871,1887,40.1440589,-97.8699104
HEPLER,KS,Crawford,1871,,37.6622846,-94.9697295
HOOPER,NE,Dodge,1871,,41.6123497,-96.5480058
HOPE,KS,Dickinson,1871,,38.6895432,-97.0774969
HOT SPRINGS,OR,Lake,1871,1875,42.1068294,-120.3191239
HOYT,KS,Jackson,1871,,39.2486989,-95.7060219
HUBBARD,OR,Marion,1871,,45.1797641,-122.807432
HUGO,CO,Lincoln,1871,,39.134927,-103.4686411
HUMPHREY,NE,Platte,1871,,41.6919249,-97.4853234
HUTCHINSON,KS,Reno,1871,,38.0538334,-97.9287598
INDEPENDENCE,KS,Montgomery,1871,,37.2258113,-95.705684
IOLA,TX,Grimes,1871,,30.7708191,-96.0734181
ISTHMUS,OR,Coos,1871,1875,43.285944,-124.2456678
JEWETT,TX,Leon,1871,,31.3662512,-96.1411213
JUNCTION RANCH,MT,Beaverhead,1871,1873,44.6035218,-112.4677795
JUNIATA,NE,Adams,1871,,40.5919398,-98.5059467
KANAB,UT,Kane,1871,,37.047452,-112.5281406
KENNARD,NE,Washington,1871,,41.4731792,-96.2017894
KIRWIN,KS,Phillips,1871,,39.6725997,-99.1232839
LA PLATTE,NE,Sarpy,1871,1955,41.0666657,-95.9252889
LA PORTE,NE,Wayne,1871,1884,42.2075026,-96.9592106
LAJOYA,NM,Socorro,1871,,34.3450785,-106.8454106
LAKE TAHOE,NV,Douglas,1871,1872,39.0739952,-119.9403836
LARKSPUR,CO,Douglas,1871,,39.2287796,-104.8849812
LAS ANIMAS,CO,Bent,1871,1883,38.0660833,-103.2229977
LATHROP,CA,San Joaquin,1871,,37.8211753,-121.2758537
LEAVENWORTH,KS,Leavenworth,1871,,39.3193366,-94.9136811
LINKVILLE,OR,Klamath,1871,1892,42.2243584,-121.7795114
LIVERMORE,CO,Larimer,1871,,40.7936002,-105.2168789
LONGVIEW,TX,Gregg,1871,,32.4622593,-94.730561
LOOKINGGLASS,OR,Douglas,1871,1942,43.1784485,-123.4861887
MANCHESTER,CA,Mendocino,1871,,38.9702743,-123.6867146
MARION,OR,Marion,1871,1962,44.7490108,-122.942314
MARTIN,SD,Turner,1871,1872,43.1175818,-96.9615532
MASON VALLEY,NV,Lyon,1871,1894,38.9880087,-119.1628672
MAXWELL,SD,Hutchinson,1871,1873,43.2406011,-97.6747855
MCDADE,TX,Bastrop,1871,,30.2861428,-97.2409898
MINERAL HILL,NV,Eureka,1871,1914,40.1604792,-116.0972902
MONROE,UT,Sevier,1871,,38.6404503,-112.1219685
NEWTON,KS,Harvey,1871,,38.0466128,-97.3467784
NICASIO,CA,Marin,1871,,38.0622407,-122.6985126
NICKERSON,NE,Dodge,1871,,41.5343207,-96.4694208
NORTON,OR,Clackamas,1871,1881,45.3262326,-122.3984203
OAKDALE,CA,Stanislaus,1871,,37.7652272,-120.8533304
OJO CALIENTE,NM,Taos,1871,,36.3007754,-106.0467582
OMAHA,NE,Douglas,1871,,41.2493856,-95.9312659
OSCEOLA,NE,Polk,1871,,41.1793595,-97.5466039
OXFORD,KS,Sumner,1871,,37.27509,-97.1687616
PARADISE VALLEY,NV,Humboldt,1871,,41.4914799,-117.5350442
PARKER,AZ,La Paz,1871,,34.1448355,-114.2867374
PAULS VALLEY,OK,Garvin,1871,,34.7399193,-97.2203444
PEABODY,KS,Marion,1871,,38.1663197,-97.1073792
PLEASANT DALE,NE,Seward,1871,,40.7910543,-96.9353555
PLYMOUTH,CA,Amador,1871,,38.4816251,-120.8468396
PRAIRO,NE,Fillmore,1871,1872,40.6279875,-97.7141563
PRINE,OR,Crook,1871,1872,44.3014091,-120.8450641
QUARTZ CREEK,MT,Mineral,1871,1882,47.0518669,-114.7692932
RED CLOUD,NE,Webster,1871,,40.0880566,-98.5189635
RICHFIELD,UT,Sevier,1871,,38.7692612,-112.0850722
RICHVILLE,ND,Richland,1871,1873,46.2655153,-96.6137928
RIVERSIDE,CA,Riverside,1871,,33.9727449,-117.3476248
RIVERTON,NE,Franklin,1871,,40.0895116,-98.7588468
ROCKLAND,NV,Lyon,1871,1909,38.6521379,-119.0943165
ROCKY FORD,CO,Otero,1871,,38.0551586,-103.7201742
ROLLINSVILLE,CO,Gilpin,1871,,39.916425,-105.500623
ROSEVILLE,NE,Pierce,1871,1874,42.3498367,-97.7917304
RUSSELL,KS,Russell,1871,,38.8914133,-98.8607685
RUTHERFORD,CA,Napa,1871,,38.4591869,-122.4225152
SACATON,AZ,Pinal,1871,,33.0815149,-111.7441981
SAINT PAUL,NE,Howard,1871,,41.2145391,-98.4583425
SALINA,UT,Sevier,1871,,38.9580765,-111.8585704
SCHELLBOURNE,NV,White Pine,1871,1925,39.7971576,-114.6805767
SCHOLLS FERRY,OR,Washington,1871,1895,45.408173,-122.9223234
SEDAN,KS,Chautauqua,1871,,37.1266394,-96.1885513
SELAH,WA,Yakima,1871,,46.6536206,-120.5293459
SILVER CITY,NM,Grant,1871,,32.7715936,-108.2741368
SMITHLAND,NE,Cedar,1871,1882,42.6213756,-97.265477
SODAVILLE,OR,Linn,1871,1933,44.4845677,-122.8717552
SOUTH HAVEN,KS,Sumner,1871,,37.0502255,-97.400883
STANTON,NE,Stanton,1871,,41.9506496,-97.2248756
STERLING,KS,Rice,1871,,38.2094484,-98.2066007
STOCKDALE,TX,Wilson,1871,,29.2319286,-97.9575577
SULPHUR SPRINGS,TX,Hopkins,1871,,33.1399096,-95.6005329
SUMMER HOUSE,OR,Clatsop,1871,1873,45.978997,-123.928194
SUMMIT,NE,Butler,1871,1878,41.1998568,-97.2961366
SUNOL,CA,Alameda,1871,,37.5942027,-121.8872518
SUNOLGLEN,CA,Alameda,1871,1920,37.5942027,-121.8872518
SUPERIOR,MT,Mineral,1871,,47.1937378,-114.8900815
SUTTON,NE,Clay,1871,,40.606315,-97.8586476
TAHOE,CA,Placer,1871,1949,39.1738699,-120.1366144
TECOMA,NV,Elko,1871,1921,41.3202014,-114.0814021
THAYER,KS,Neosho,1871,,37.4876585,-95.4710952
TRES PINOS,CA,San Benito,1871,,36.7902775,-121.320993
TURLOCK,CA,Stanislaus,1871,,37.4973738,-120.8426464
TURNER,OR,Marion,1871,,44.8502826,-122.9550636
TUSCARORA,NV,Elko,1871,,41.3145008,-116.2226207
UPPER OCHOCO,OR,Crook,1871,1880,44.3276299,-120.6427948
VANDERBILT,NV,Eureka,1871,1873,39.4246515,-115.9783901
VINA,CA,Tehama,1871,,39.9333662,-122.0543933
VINITA,OK,Craig,1871,,36.6388355,-95.1533048
WALHALLA,ND,Pembina,1871,,48.9229655,-97.9159449
WALTON,KS,Harvey,1871,,38.1162099,-97.2583768
WARMSPRINGS,MT,Deer Lodge,1871,,46.1817125,-112.7889122
WASHINGTON,NE,Washington,1871,,41.3974968,-96.2080754
WATERLOO,NE,Douglas,1871,,41.2877583,-96.2843394
WEBSTER,NE,Dodge,1871,1902,41.5972253,-96.7900305
WEISER,ID,Washington,1871,,44.2469461,-116.9714757
WELLBORN,TX,Brazos,1871,,30.5356659,-96.3013309
WELLINGTON,KS,Sumner,1871,,37.2660345,-97.400338
WHITE ROCK,NV,Elko,1871,1925,41.7418458,-116.1862076
WINGVILLE,OR,Baker,1871,1879,44.8395934,-117.921607
WISNER,NE,Cuming,1871,,41.9882701,-96.9157555
WOODBURN,OR,Marion,1871,,45.1442128,-122.8562884
YANAX,OR,Klamath,1871,1872,42.4309787,-121.4288903
CARTWRIGHT'S,OR,Lane,1871,1890,43.7942884,-123.2081428
HIGHLAND STATION,KS,Doniphan,1871,1908,39.8593289,-95.2660644
LANGELL'S VALLEY,OR,Klamath,1871,1924,42.0096019,-121.2288769
SPAFFORD'S GROVE,NE,Hamilton,1871,1872,40.8674719,-98.0039285
SUTTER STATION,CA,Sutter,1871,1873,39.1600653,-121.7485915
BARNARD'S MILL,TX,Somervell,1871,1874,32.2345872,-97.7553061
ALTA,CA,Placer,1871,,39.2065652,-120.8113268
ALVA,KS,Cloud,1871,1878,39.5994495,-97.8611542
ARLINGTON,KS,Osborne,1871,1872,39.4516773,-98.7870213
ATTICA,KS,Ellsworth,1871,1871,38.8250106,-98.4753437
BALA,KS,Riley,1871,1966,39.3097187,-96.9497353
BANGOR,KS,Coffey,1871,1886,38.097803,-95.8836
BEAR CREEK,CA,Merced,1871,1872,37.2971635,-120.4174093
BERRYVILLE,TX,Henderson,1871,1905,32.0884931,-95.4719003
BETHANY,KS,Osborne,1871,1880,39.5636219,-98.6934054
BIRTHRIGHT,TX,Hopkins,1871,1953,33.2723341,-95.5649546
BLOOMINGDALE,KS,McPherson,1871,1872,38.5508396,-97.430309
BLOOMINGDALE,SD,Clay,1871,1900,42.9244386,-96.9567124
BOSLAND,KS,Ellsworth,1871,1873,38.8250106,-98.4753437
BRANTFORD,KS,Washington,1871,1908,39.7122241,-97.3597572
BRENNER,KS,Doniphan,1871,1917,39.7252739,-95.1152495
BROOKDALE,KS,Rice,1871,1874,38.3450104,-98.2017268
BRUSH CREEK,KS,Cherokee,1871,1883,37.0978407,-94.7949532
BURGETTVILLE,CA,Shasta,1871,1888,41.0612737,-121.4902611
CALMAR,KS,McPherson,1871,1880,38.5555632,-97.8336559
CANA,CA,Butte,1871,1913,39.8401593,-121.9941487
CARIBOU,CO,Boulder,1871,1917,39.9808202,-105.5786115
CARROLLTON,WA,Cowlitz,1871,1915,46.0715022,-122.8623306
CHOTEAU,OK,Mayes,1871,1941,36.1859301,-95.3430239
CLOVERDALE,KS,Chautauqua,1871,1905,37.2269782,-96.489178
COLORADO,KS,Lincoln,1871,1886,39.0127825,-97.9756022
CONEBURGH,KS,Marion,1871,1871,38.1694596,-97.1066965
CONSTANT,KS,Cowley,1871,1894,37.1661374,-97.1475402
CORA,KS,Smith,1871,1904,39.8927907,-98.6636798
COTTONWOOD,KS,Chase,1871,1881,38.397236,-96.5369507
DECOTO,CA,Alameda,1871,1959,37.5958333,-122.0191667
DELLA,KS,Clay,1871,1872,39.4663857,-97.2019703
DIAMOND,UT,Juab,1871,1906,39.881617,-112.0974446
DIVIDE,KS,Anderson,1871,1872,38.0708626,-95.3655356
DOG TOWN,TX,Mcmullen,1871,1877,28.4619375,-98.549184
DORRIS BRIDGE,CA,Modoc,1871,1876,41.4871146,-120.5424555
DUGANSVILLE,TX,Grayson,1871,1879,33.6103837,-96.4108188
EAGLE,KS,Pottawat.,1871,1874,39.3472183,-96.2211091
EAST NORWAY,KS,Doniphan,1871,1894,39.7624971,-95.1716402
EAST PHOENIX,AZ,Maricopa,1871,1876,33.4483771,-112.0740373
EL PASO,KS,Sedgwick,1871,1881,37.5455735,-97.2689331
ELGIN,KS,Chautauqua,1871,,37.0044964,-96.2766608
ELINOR,KS,Chase,1871,1881,38.3933472,-96.4280586
ELWOOD,TX,Fannin,1871,1909,33.8117667,-96.0738675
EMMATON,CA,Sacramento,1871,1918,38.0801969,-121.732177
FISH ROCK,CA,Mendocino,1871,1910,38.8049105,-123.5852897
FLORENCE,ID,Idaho,1871,1912,45.5010061,-116.0284654
FRAIMVILLE,TX,Burleson,1871,1874,30.697974,-96.6621951
GLENBROOK,CA,Lake,1871,1911,38.8515695,-122.758602
GOODLAND,OK,Choctaw,1871,1902,33.9817705,-95.5552391
GOODRICH,KS,Linn,1871,1942,38.2847454,-94.9919126
GOOSE RIVER,ND,Traill,1871,1875,47.4574751,-96.8856372
GRAFTON,KS,Chautauqua,1871,1906,37.2003302,-96.149714
GRANITE CITY,UT,Salt Lake,1871,1887,40.5730042,-111.8060434
GREGG,TX,Travis,1871,1902,30.3407629,-97.5569456
HARRISVILLE,UT,Weber,1871,1902,41.2813324,-111.9882754
HEADSVILLE,TX,Robertson,1871,1905,31.2612902,-96.495806
HOLDEN,CA,San Joaquin,1871,1871,37.9790906,-121.1063313
HOLLY SPRINGS,TX,Jasper,1871,1902,30.8971441,-93.8840719
HOPPER,KS,Washington,1871,1874,39.7283364,-96.9761341
IONIA,KS,Jewell,1871,1987,39.6639002,-98.3475569
IVYWILD,CO,El Paso,1871,1895,38.8105479,-104.8352519
JAMISON,CA,Plumas,1871,1882,39.7760082,-120.6821651
JOHNSON'S POINT,TX,Kaufman,1871,1873,32.6279109,-96.1916425
JONES MILL,TX,Coryell,1871,1877,31.6146028,-97.8766938
KALIDA,KS,Woodson,1871,1876,37.8811472,-95.7333175
KING CITY,KS,McPherson,1871,1887,38.2905643,-97.6269867
KITTITASS,WA,Kittitas,1871,1884,46.9831822,-120.4170102
KNAPPTON,WA,Pacific,1871,1943,46.2764941,-123.8148675
LAKE POINT,UT,Tooele,1871,1919,40.6807774,-112.2630024
LAPLAND,KS,Greenwood,1871,1906,37.9847445,-96.3933406
LITTLE WALNUT,KS,Butler,1871,1882,37.6902964,-96.7822508
LITTLETON,KS,Sumner,1871,1879,37.474464,-97.2439325
LOVELOCK,CA,Butte,1871,1922,39.8912719,-121.5777512
